,vertices,text,dimensions
0,"[x: 935
y: 15
, x: 956
y: 15
, x: 955
y: 121
, x: 934
y: 121
]","['ヴェクタ', '南部']","(20, 106)"
1,"[x: 939
y: 530
, x: 968
y: 530
, x: 968
y: 634
, x: 939
y: 634
]","['落ちつけ', '!', '増援', 'の', 'あて', 'なら', 'ある']","(29, 104)"
2,"[x: 906
y: 193
, x: 969
y: 191
, x: 970
y: 215
, x: 907
y: 217
]",['KA'],"(64, 22)"
3,"[x: 865
y: 39
, x: 897
y: 39
, x: 897
y: 151
, x: 865
y: 151
]","['だめ', 'だ', 'ヘルガスト', '共', 'に', '追いつか', 'れ', 'まし', 'た', '。']","(32, 112)"
4,"[x: 824
y: 102
, x: 842
y: 102
, x: 843
y: 132
, x: 825
y: 132
]","['れ', '応戦', 'を']","(19, 30)"
5,"[x: 787
y: 204
, x: 867
y: 204
, x: 866
y: 361
, x: 786
y: 361
]","['援軍', 'は', '･・', 'ダメ', 'だ', '来る', 'わけ', 'ない', 'ヴェクタ', 'を', '防衛', '中', 'の', '友軍', 'は', 'どこ', 'も', '劣勢', 'とても', 'ここ', 'まで', 'は']","(79, 157)"
6,"[x: 819
y: 580
, x: 825
y: 580
, x: 825
y: 599
, x: 819
y: 599
]",['しんま'],"(6, 19)"
7,"[x: 783
y: 508
, x: 819
y: 508
, x: 819
y: 626
, x: 783
y: 626
]","['もう少し', 'の', '辛抱', 'だ', '」', 'チャチャス', '!']","(36, 118)"
8,"[x: 410
y: 108
, x: 446
y: 108
, x: 446
y: 185
, x: 410
y: 185
]","['しかし', '…', '。', 'この', 'まま', 'で', 'は']","(36, 77)"
9,"[x: 299
y: 416
, x: 326
y: 416
, x: 327
y: 551
, x: 300
y: 551
]","['ふせろーっ', '」']","(28, 135)"
10,"[x: 67
y: 234
, x: 104
y: 234
, x: 105
y: 371
, x: 68
y: 371
]","['ロケット', 'ランチャー', '!!', 'まずい']","(38, 137)"
